Genotype	DM_India_2017	DM_India_2018	DM_India_2021	DM_India_2018.1	DM_India_2019	DF_India_2017	DF_India_2018	DF_India_2019	DF_India_2021	DF_India_2018.1	DF_India_2019.1
VI004307AG	61.25	61	90	58	NA	34.25	36.5	48	42	42	49.5
VI004312AG	61.6666666666667	65.5	93	57	55.5	35.5	36.5	43	40.5	38	44
VI004347B-BLM	58.75	68	89	56.5	60	33	39	45	51.5	39	46
VI004351AG	59.3333333333333	62	90.5	57.5	57.5	32.25	32	50	42.5	44	38.5
VI004423AG	62.25	65	93	55	55	35	34.5	49.5	41.5	41	40
VI004432B-BR	59	63	92	58.5	55	30.5	32	50	39	43.5	40.5
VI004480AG	61.5	62	91	66	NA	33.75	44	51	49.5	46	NA
VI004639AG	62	68.5	96	60	56	35.5	40	55	46	41.5	47.5
VI004666AG	56	63.5	91	54	54	31	31.5	44	38	37.5	38
VI004691AG	59.6666666666667	64	93	58	NA	32.5	37	45	39	41	42
VI004694BG	59.25	62.5	91	58	53.5	32.5	33	49	41	37	35.5
VI004710AG	65	67.5	98.5	56	57.5	36.25	38.5	54.5	54	44	46
VI004734AG	64	66.5	93	63	52.5	32.25	31.5	47	41	41.5	29
VI004743AG	70.75	82	85	59.5	NA	41	54	57	52	42.5	40
VI004789BG	68.75	68.5	100	55	57.5	41	37.5	57	56.5	38.5	41.5
VI004810BG	67.75	67	92	54	53	35.75	34	49	47.5	35	39
VI004811BG	68	63.5	103	65	57	37.5	40	55	56	43	43.5
VI004822BG	65.5	64.5	94	56.5	54.5	35.75	33	52.5	51.5	37.5	36
VI004838AG	68	66.5	85	58	54.5	38	33.5	54	52.5	41	41
VI004842AG	70.25	71.5	95	58	55	40.5	38	50	49	42	36
VI004853BG	61	65	95	61.5	56.5	33	38	53	48	42	40
VI004871BG	60	63	91	56.5	53	31.25	31.5	47.5	47	38.5	36
VI004877AG	63	76	85	57.5	55.5	35.75	47.5	54	46	38	42
VI004915BG	60	66.5	85	54	56	33.75	33	52	47.5	37.5	42
VI004931AG	61	68	93	61	54	35.25	38	52.5	48	43.5	38
VI004933AG	63.75	66.5	93	55	51.5	36.25	37	39	45.5	39.5	36
VI004934AG	61.6666666666667	66.5	95	55.5	54	35.75	36	48.5	47.5	38	39
VI004937AG	65.5	65	90	57	55.5	37	38	48	46	40.5	43.5
VI004942BG	63.25	72	103	55.5	57.5	37	44	47.5	46	39.5	34
VI004954BG	67.6666666666667	65.5	105	53	51.5	36.5	33	50	43	36	36
VI004956AG	64.5	65	93	57.5	53.5	35	37	52	47	37	40
VI004957AG	61.5	64	102	56	57	33.75	38	54	54	44	41
VI004958BG	58.25	63.5	93.5	57.5	54	30.75	42.5	46.5	46.5	38	36
VI004965BG	64.6666666666667	67	93	59.5	56.5	38	35.5	46.5	46	42	46.5
VI004968AG	66.75	65	85	60	56	37.25	39	51.5	54	41.5	45.5
VI004969AG	61	67.5	105.5	56.5	57	33	32.5	41	45.5	41.5	42.5
