Genotype	DM_India_2017	DM_India_2018	DM_India_2021	DM_India_2018	DM_India_2019	DM_Bangladesh_2017	DM_Bangladesh_2019	DM_Bangladesh_2016	DM_Myanmar_2016	DF_India_2017	DF_India_2018	DF_India_2019	DF_India_2021	DF_India_2018	DF_India_2019	DF_Bangladesh_2017	DF_Bangladesh_2017	DF_Bangladesh_2019	DF_Bangladesh_2016	DF_Myanmar_2016
VI003563A-BR	66.25	64.5	105.5	56.5	54.5	73	56	80	79	35.75	37.5	51	48	36.5	39	48	44.5	44	40	45
VI003577AG	70	78	97.5	64	57	69.5	61	81	79	36.6666666666667	52.5	54	52	46.5	44	46	43.5	40	42	45
VI003602AG	64.5	66.5	91.5	57	54.5	73	59	83	77	35	36.5	51.5	46	50	38.5	43.5	NA	49.5	57	41
VI003642AG	70	NA	93	58	58	71.5	73	82	79	38.5	39	58.5	54	40	43.5	43.5	45.5	39	39	45
VI003648BG	63.25	72	92.5	64	55	73	71	82	74	37	38.5	44	52	46.5	45	46	44.5	49	48	38
VI003658BG	72.5	NA	93.5	59.5	NA	69.5	61	NA	79	39.6666666666667	42	55	52	34	NA	39	45.5	48	NA	47
VI003664AG	66	65	93.5	62	55.5	69	58	85	75	37.5	42.5	56	52	43.5	32	47	47	38	39	38
VI003678BG	65.5	NA	91	72.5	55	68	61	85	80	34	55.5	51.5	49	41	46	48.5	NA	47	48	48
VI003685AG	66.25	77.5	93.5	63	52	71.5	64	87	78	37.25	41.5	53	48	46	38	49	44	46.5	55	40
VI003699B-BG	73.5	NA	96.5	81	55	68	74	NA	83	37	56	50.5	46	45	38.5	NA	45	47	NA	59
VI003720BG	70	NA	91	61.5	55	75	69	80	87	39.5	53	56	44	41.5	40	41	45	48	38	37
VI003725BG	72	69.5	94.5	56	59	68.5	54.5	80	73	44.75	47	52	48	40	47	51	44	31.5	45	35
VI003733BG	71	82.5	93	55	60	NA	68.5	83	80	40.3333333333333	52.5	56	52	34	54.5	40	49	47.5	41	48
