Genotype	PodPerPlant_India_2018	PodPerPlant_India_2021	PodPerPlant_India_2018	PodPerPlant_India_2019	SW_India_2021	SW_India_2018	SeedPerPod_India_2017	SeedPerPod_India_2018	SeedPerPod_India_2018	SeedPerPod_India_2019	PodPerPlant_Bangladesh_2017	SeedPerPod_Bangladesh_2017	PodPerPlant_Bangladesh_2019	SW_Bangladesh_2019	SeedPerPod_Bangladesh_2019	SW_Bangladesh_2017	PodPerPlant_Bangladesh_2017	PodPerPlant_Bangladesh_2016	SW_Myanmar_2016
VI002432AG	40.5	11	7.8	7	7.115	4.3	11	11.5	11.45	9	5.1	8	15.02	3.14	7.865	2.55	9	12.8	7
VI002437BG	70	16.5	7.1	4.035	3.02	2.8	12	12	9.65	7	12.925	9.2	11.8	4.68	7.295	2.4	8	14.8	3.6
VI002456AG	71.3	34.5	4.1	8.8	5.22	5	11.33333333	14.5	12.15	7	6.7	9.1	21.5	4.15	11.2	0	0	12.8	6.4
VI002469AG	83.5	28.5	13.25	5.465	5.02	3.25	12.5	12.5	11.5	7	16.6	9.3	22.2	4.75	11.2	2.8	10.5	17	4.8
VI002487AG	84.75	32.5	3.8	3	4.02	2.8	12	14.5	9.8	7	11	9.7	23.2	4.335	11.2	2.3	10.5	18.8	3.6
VI002523AG	75.5	25.5	15.1	5.85	5.82	4.2	10.5	13.5	11.8	7.5	5.6	6.8	19.2	5.295	11.3	0	0	19.4	6
VI002529B-BL	130.7	24	2.05	4.8	5.135	1.1	11	8.5	8.35	9	11.2	7	20.9	5.18	10.9	2.65	17.5	NA	5.4
VI002532AG	35	25	4.7	5.125	3.56	3.7	11.75	13	13	8	11.9	9.7	15.4	4.7	11.1	2.25	12	4.6	5
VI002537AG	74.9	10	5.15	6.7	5	3.7	10.33333333	13	10	9	10.1	8.7	20.6	3.43	11.5	1.4	7	14.6	4.4
VI002569BG	71	7.5	5.55	8	3.15	4.1	11.66666667	12	11.8	7	16.4	10.4	21	2.78	11.4	2.2	7	11.2	6
VI002587AG	64.3	11.5	5.75	6.4	6.48	4.5	11	14	11.5	7.5	4.9	8.6	26.6	3.13	11.4	2.4	13	11.6	6.4
VI002611AG	73	18.5	8	5.2	5.915	4.6	10	13.5	11.15	8	14.7	9.1	22.2	4.18	11.8	3.1	16	11.6	5.8
